participant_id,word,word_article,gender,age,last_degree,last_degree_parents,language_group,home_language,social_language,academic_language,english_level,professional_english,language_family
P05,Influencer,der,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Content,das,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Design,das,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Tool,das,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Workshop,der,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Agency,die,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Agreement,das,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P05,Mockup,das,d,29,Bachelor,Bachelor,Dutch,only german ,more german,2-3 days/week,5 very good,very good,Germanic
P06,Laptop,der,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Call,der,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Meeting,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Update,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Feedback,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Influencer,der,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Content,der,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Design,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Tool,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Workshop,der,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Agency,die,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Agreement,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P06,Mockup,das,f,25,Bachelor,Hauptschulabschluss/ ND,Pashto,equally both,more german,less than 2 days/week,4 good ,very good,Indo-European
P07,Laptop,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Call,der,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Meeting,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Update,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Feedback,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Influencer,der,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Content,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Design,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Tool,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Workshop,der,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Agency,die,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Agreement,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P07,Mockup,das,f,21,Abitur,,Turkish,more german,equally both,less than 2 days/week,3 okay,okay,Turkic
P08,Laptop,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Call,der,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Meeting,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Update,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Feedback,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Influencer,der,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Content,der,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Design,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Tool,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Workshop,der,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Agency,die,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Agreement,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P08,Mockup,das,f,22,Abitur,,Arabic,equally both,more german,less than 2 days/week,5 very good,very good,Afro-Asiatic
P09,Laptop,der,m,22,Fachabitur,,German,only L1,more L1,2-3 days/week,4 good ,very good,Germanic
P09,Call,der,m,22,Fachabitur,,German,only L1,more L1,2-3 days/week,4 good ,very good,Germanic
P09,Meeting,das,m,22,Fachabitur,,German,only L1,more L1,2-3 days/week,4 good ,very good,Germanic
P09,Update,das,m,22,Fachabitur,,German,only L1,more L1,2-3 days/week,4 good ,very good,Germanic
